,0.1,0.2,0.3,0.4,0.5,Epochs
0,0.19323646467822447,0.19583447139336865,0.23357670863808344,0.2046857053346471,0.2211052493245871,0
1,0.09984994253941945,0.10536891374506675,0.11563150109703353,0.1225355077050388,0.13251592677984156,1
2,0.08928030252710843,0.09380184615980079,0.10087364567304725,0.11064360476633124,0.11823904728775085,2
3,0.08466956975744731,0.08893407987696784,0.09490693969004699,0.10469314120789326,0.11191981357297917,3
4,0.0818399435866362,0.08594043905546925,0.09148076205238351,0.10113724689684443,0.10838780243958492,4
5,0.07988880188671002,0.08388883264651939,0.08924691566526255,0.09881095132276194,0.10598379777057339,5
6,0.07841318777438674,0.08233769511236057,0.08760294516775399,0.0971459471054677,0.10436886698325305,6
7,0.07727243447862962,0.08114571216454639,0.08634493323658575,0.09583057007238047,0.10309833947465873,7
8,0.07632461833610718,0.0801604124052184,0.08532932974191616,0.09488488649572137,0.1021564152004368,8
9,0.07556923400999895,0.07938137733097524,0.08452559931318897,0.09401522411593496,0.1012901574659195,9
10,0.0748982198043927,0.0787311355982508,0.08390696686722322,0.0933459901383945,0.10058028997579363,10
11,0.07432920708140331,0.07813651773975348,0.08328711004780807,0.09280839780055637,0.1000557470359782,11
12,0.07383109905572334,0.07766229276463929,0.08285441484723265,0.09224659584160806,0.09961036116138959,12
13,0.07343598823748164,0.07726073968829884,0.08244281991331308,0.09187116421489065,0.09917404477212474,13
14,0.07302576508412738,0.07688728008252471,0.08207212982655589,0.09150744623530394,0.09883874443484776,14
15,0.07272865095817203,0.07658877881414601,0.08174987242165913,0.09114435810778442,0.09841067723628046,15
16,0.07242396656574725,0.07630334813584651,0.08146475311090697,0.09073910160041822,0.09812836242573601,16
17,0.07216834801155875,0.07604340932516655,0.08122684768458674,0.0904995262908783,0.09786781933960884,17
18,0.07189739932383556,0.0758554203741586,0.08099700807571919,0.09018705075165864,0.09757610845731012,18
19,0.07171048079408816,0.07563613561679051,0.08077382293146557,0.08998491549923984,0.09745289482223962,19
20,0.07152167434440747,0.07545958487972268,0.08057740750089129,0.08973376090719756,0.09709015013630203,20
21,0.07134390295123749,0.07526785400567024,0.0803760415010615,0.08954018308346205,0.09687019789269738,21
22,0.07115584546759693,0.07512331680893135,0.080267090914346,0.08936082230193783,0.09677025154709562,22
23,0.07101900348149891,0.07500049130304028,0.08011594038210444,0.08920919264493975,0.09661150752290734,23
24,0.07087070170813786,0.0748684248690412,0.0799621980327533,0.08907741114401868,0.09635159395523925,24
